Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO₂eq),Instance Hourly Manufacturing Emissions (gCO₂eq),Hardware Information on AWS Documentation & Comments
n2-standard-48,,48,128,Xeon Gold 6268CL,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-64,,64,128,Xeon Gold 6268CL,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-80,,80,128,Xeon Gold 6268CL,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-96,,96,128,Xeon Platinum 8373C,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-standard-128,,128,128,Xeon Platinum 8373C,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-2,,2,128,Xeon Gold 6268CL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-4,,4,128,Xeon Gold 6268CL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-8,,8,128,Xeon Gold 6268CL,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-16,,16,128,Xeon Gold 6268CL,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-32,,32,128,Xeon Gold 6268CL,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-48,,48,128,Xeon Gold 6268CL,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-64,,64,128,Xeon Gold 6268CL,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-80,,80,128,Xeon Gold 6268CL,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-96,,96,128,Xeon Platinum 8373C,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highmem-128,,128,128,Xeon Platinum 8373C,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-2,,2,128,Xeon Gold 6268CL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-4,,4,128,Xeon Gold 6268CL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-8,,8,128,Xeon Gold 6268CL,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-16,,16,128,Xeon Gold 6268CL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-32,,32,128,Xeon Gold 6268CL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-48,,48,128,Xeon Gold 6268CL,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-64,,64,128,Xeon Gold 6268CL,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-80,,80,128,Xeon Gold 6268CL,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2-highcpu-96,,96,128,Xeon Platinum 8373C,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-2,,2,224,EPYC 7B13 / EPYC 7B12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-4,,4,224,EPYC 7B13 / EPYC 7B12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-8,,8,224,EPYC 7B13 / EPYC 7B12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-16,,16,224,EPYC 7B13 / EPYC 7B12,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-32,,32,224,EPYC 7B13 / EPYC 7B12,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-48,,48,224,EPYC 7B13 / EPYC 7B12,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-64,,64,224,EPYC 7B13 / EPYC 7B12,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-80,,80,224,EPYC 7B13 / EPYC 7B12,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-96,,96,224,EPYC 7B13 / EPYC 7B12,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-128,,128,224,EPYC 7B13 / EPYC 7B12,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-standard-224,,224,224,EPYC 7B13 / EPYC 7B12,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-2,,2,224,EPYC 7B13 / EPYC 7B12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-4,,4,224,EPYC 7B13 / EPYC 7B12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-8,,8,224,EPYC 7B13 / EPYC 7B12,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-16,,16,224,EPYC 7B13 / EPYC 7B12,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-32,,32,224,EPYC 7B13 / EPYC 7B12,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-48,,48,224,EPYC 7B13 / EPYC 7B12,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-64,,64,224,EPYC 7B13 / EPYC 7B12,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-80,,80,224,EPYC 7B13 / EPYC 7B12,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highmem-96,,96,224,EPYC 7B13 / EPYC 7B12,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highcpu-2,,2,224,EPYC 7B13 / EPYC 7B12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highcpu-4,,4,224,EPYC 7B13 / EPYC 7B12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2d-highcpu-8,,8,224,EPYC 7B13 / EPYC 7B12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
